Debit,DATE,Description,Credit,Amount,,,,,
Citi Double Cash Back,2/1/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$37.04 ,,,,,
Discover It Credit Card,2/1/2020,WEIS Markets,Groceries,$41.52 ,,,,,
Capital One Savor,2/1/2020,Chipotle,Dining Out,$22.32 ,,,,,
Citi Double Cash Back,2/2/2020,CVS/PHARMACY #01909 ELKRIDGE MD,Pharmacy,$6.99 ,,,,,
SquareCash,2/2/2020,SuperBowl Boxes,Activities,$10.00 ,,,,,
Citi Double Cash Back,2/3/2020,ACT GEARS ELIZABETH TOWN PA,Volleyball,$60.00 ,,,,,
Citi Double Cash Back,2/3/2020,FOODSBY MINNEAPOLIS MN,Delivery/ Carry-Out,$22.78 ,,,,,
Capital One Checking,2/3/2020,PAYMENT - Thank You,BofA Cash Card,$680.49 ,,,,,
Capital One Checking,2/3/2020,Royal Farms,Gas,$22.75 ,,,,,
Capital One Checking,2/3/2020,BALTIMOREGAS RES,Apartment,$131.04 ,,,,,
Capital One Checking,2/3/2020,GREYSTAR-MDSHEC-,Apartment,"$1,534.73 ",,,,,
TD Bank,2/3/2020,Edo's Loan,Discover Student Loan,$370.00 ,,,,,
Capital One Savor,2/3/2020,"Earth, Wood & Fire - Baltimore",Dining Out,$62.00 ,,,,,
Amazon Store Card,2/4/2020,AMAZON MARKETPLACE,Clothing,$84.12 ,,,,,
Citi Double Cash Back,2/4/2020,ACT GEARS ELIZABETH TOWN PA,Volleyball,$60.00 ,,,,,
Capital One Checking,2/4/2020,Royal Farms,Gas,$23.49 ,,,,,
Capital One Checking,2/4/2020,Transfer,Paypal,$200.00 ,,,,,
Paypal,2/4/2020,CHRVA Tournament entry fee,Volleyball,$200.00 ,,,,,
Paypal,2/4/2020,Etsy Wedding Gift for Syds Mom,Wedding,$120.65 ,,,,,
Capital One Savor,2/4/2020,THE POTTERY STOP,Coffee Shops,$13.14 ,,,,,
Capital One Savor,2/5/2020,JASON'S DELI MDC 161,Dining Out,$16.41 ,,,,,
Amazon Store Card,2/6/2020,AMAZON MARKETPLACE,Clothing,$14.30 ,,,,,
Amazon Store Card,2/6/2020,AMAZON MARKETPLACE,Clothing,$54.85 ,,,,,
Amazon Store Card,2/6/2020,AMAZON MARKETPLACE,Clothing,$67.81 ,,,,,
